Minimum Error At:
AX12 Constant 152
dsPIC Constant 184


Other possible values with error less than 1%
----------------+-----------------+-----------
       AX12     |       dsPIC     |
  Speed   Value |   Speed  Value  |  Error (%)
----------------+-----------------+-----------
    11049  180  |    10992  219   |    0.52
    10989  181  |    10992  219   |    0.03
    10928  182  |    10992  219   |    0.58
    11049  180  |    10942  220   |    0.98
    10989  181  |    10942  220   |    0.43
    10928  182  |    10942  220   |    0.12
    10869  183  |    10942  220   |    0.67
    10989  181  |    10893  221   |    0.88
    10928  182  |    10893  221   |    0.33
    10869  183  |    10893  221   |    0.22
    10810  184  |    10893  221   |    0.76
    10928  182  |    10844  222   |    0.78
    10869  183  |    10844  222   |    0.23
    10810  184  |    10844  222   |    0.31
    10752  185  |    10844  222   |    0.85
    10869  183  |    10795  223   |    0.68
    10810  184  |    10795  223   |    0.14
    10752  185  |    10795  223   |    0.40
    10695  186  |    10795  223   |    0.94
    10810  184  |    10747  224   |    0.59
    10752  185  |    10747  224   |    0.04
    10695  186  |    10747  224   |    0.49
    10752  185  |    10700  225   |    0.49
    10695  186  |    10700  225   |    0.05
    10638  187  |    10700  225   |    0.58
    10752  185  |    10653  226   |    0.93
    10695  186  |    10653  226   |    0.39
    10638  187  |    10653  226   |    0.14
    10582  188  |    10653  226   |    0.67
    10695  186  |    10606  227   |    0.84
    10638  187  |    10606  227   |    0.30
    10582  188  |    10606  227   |    0.23
    10526  189  |    10606  227   |    0.76
    10638  187  |    10560  228   |    0.74
    10582  188  |    10560  228   |    0.21
    10526  189  |    10560  228   |    0.32
    10471  190  |    10560  228   |    0.85
    10582  188  |    10514  229   |    0.64
    10526  189  |    10514  229   |    0.11
    10471  190  |    10514  229   |    0.41
    10416  191  |    10514  229   |    0.94
    10526  189  |    10468  230   |    0.55
    10471  190  |    10468  230   |    0.02
    10416  191  |    10468  230   |    0.50
    10526  189  |    10423  231   |    0.99
    10471  190  |    10423  231   |    0.46
    10416  191  |    10423  231   |    0.07
    10362  192  |    10423  231   |    0.59
    10471  190  |    10378  232   |    0.89
    10416  191  |    10378  232   |    0.36
    10362  192  |    10378  232   |    0.16
    10309  193  |    10378  232   |    0.68
    10416  191  |    10334  233   |    0.79
    10362  192  |    10334  233   |    0.27
    10309  193  |    10334  233   |    0.24
    10256  194  |    10334  233   |    0.76
    10362  192  |    10290  234   |    0.70
    10309  193  |    10290  234   |    0.18
    10256  194  |    10290  234   |    0.33
    10204  195  |    10290  234   |    0.85
    10309  193  |    10246  235   |    0.61
    10256  194  |    10246  235   |    0.09
    10204  195  |    10246  235   |    0.42
    10152  196  |    10246  235   |    0.93
    10256  194  |    10203  236   |    0.52
    10204  195  |    10203  236   |    0.00
    10152  196  |    10203  236   |    0.51
    10256  194  |    10160  237   |    0.94
